Region,SPI,Year,Month,Values
Assam Meghalaya,2,1916,1,-0.329630579
Assam Meghalaya,2,1916,2,-0.235966291
Assam Meghalaya,2,1916,3,-0.342583837
Assam Meghalaya,2,1916,4,0.122473317
Assam Meghalaya,2,1916,5,0.119630988
Assam Meghalaya,2,1916,6,-0.596023207
Assam Meghalaya,2,1916,7,-0.749675423
Assam Meghalaya,2,1916,8,0.293919222
Assam Meghalaya,2,1916,9,0.370527281
Assam Meghalaya,2,1916,10,0.885900499
Assam Meghalaya,2,1916,11,1.49411017
Assam Meghalaya,2,1916,12,0.56512884
Assam Meghalaya,2,1917,1,-1.048293652
Assam Meghalaya,2,1917,2,1.453314627
Assam Meghalaya,2,1917,3,0.404912291
Assam Meghalaya,2,1917,4,-0.68774995
Assam Meghalaya,2,1917,5,-1.56802319
Assam Meghalaya,2,1917,6,-0.666451799
Assam Meghalaya,2,1917,7,0.374816452
Assam Meghalaya,2,1917,8,-0.506165154
Assam Meghalaya,2,1917,9,-0.448338867
Assam Meghalaya,2,1917,10,0.502159542
Assam Meghalaya,2,1917,11,0.859826272
Assam Meghalaya,2,1917,12,0.842286044
Assam Meghalaya,2,1918,1,-1.422449587
Assam Meghalaya,2,1918,2,-1.355711124
Assam Meghalaya,2,1918,3,0.075921893
Assam Meghalaya,2,1918,4,-0.456232195
Assam Meghalaya,2,1918,5,-1.199990433
Assam Meghalaya,2,1918,6,0.515716165
Assam Meghalaya,2,1918,7,2.510833713
Assam Meghalaya,2,1918,8,2.652736104
Assam Meghalaya,2,1918,9,1.509987129
Assam Meghalaya,2,1918,10,-0.131216038
Assam Meghalaya,2,1918,11,-1.459604092
Assam Meghalaya,2,1918,12,-2.102073007
Assam Meghalaya,2,1919,1,-0.454387003
Assam Meghalaya,2,1919,2,-0.851700797
Assam Meghalaya,2,1919,3,-1.702401038
Assam Meghalaya,2,1919,4,-1.245126475
Assam Meghalaya,2,1919,5,-0.862013631
Assam Meghalaya,2,1919,6,-0.531155583
Assam Meghalaya,2,1919,7,-0.630900685
Assam Meghalaya,2,1919,8,-1.834591554
Assam Meghalaya,2,1919,9,-0.866287236
Assam Meghalaya,2,1919,10,0.728789077
Assam Meghalaya,2,1919,11,0.59369548
Assam Meghalaya,2,1919,12,0.476031527
Assam Meghalaya,2,1920,1,-1.215579269
Assam Meghalaya,2,1920,2,0.116597146
Assam Meghalaya,2,1920,3,1.952390515
Assam Meghalaya,2,1920,4,1.007207954
